AA	79
AB	6479
AC	12625
AD	10375
AE	349
AF	2092
AG	5772
AH	384
AI	8922
AJ	331
AK	2952
AL	30662
AM	8032
AN	55974
AO	130
AP	5719
AQ	63
AR	30308
AS	24561
AT	41920
AU	3356
AV	5778
AW	1689
AX	531
AY	6128
AZ	334
BA	4122
BB	308
BC	53
BD	69
BE	16249
BF	4
BG	7
BH	29
BI	3005
BJ	654
BK	2
BL	6581
BM	88
BN	59
BO	5509
BP	15
BQ	0
BR	3145
BS	1292
BT	482
BU	5214
BV	108
BW	8
BX	0
BY	4975
BZ	1
CA	15174
CB	17
CC	2344
CD	62
CE	18367
CF	39
CG	24
CH	16854
CI	7936
CJ	2
CK	3316
CL	4201
CM	75
CN	24
CO	22384
CP	37
CQ	154
CR	4214
CS	643
CT	12997
CU	4585
CV	5
CW	3
CX	0
CY	1176
CZ	20
DA	4259
DB	78
DC	71
DD	1205
DE	21565
DF	78
DG	874
DH	153
DI	13899
DJ	134
DK	9
DL	911
DM	512
DN	213
DO	5307
DP	48
DQ	19
DR	2409
DS	3560
DT	81
DU	4186
DV	537
DW	230
DX	1
DY	1421
DZ	2
EA	19403
EB	763
EC	13457
ED	32937
EE	10647
EF	4588
EG	3370
EH	742
EI	5169
EJ	128
EK	464
EL	14952
EM	10536
EN	41004
EO	2044
EP	4837
EQ	1614
ER	57754
ES	37766
ET	11634
EU	878
EV	7184
EW	3293
EX	6035
EY	4053
EZ	127
FA	4624
FB	7
FC	16
FD	13
FE	6670
FF	4125
FG	14
FH	5
FI	8024
FJ	2
FK	3
FL	1830
FM	19
FN	11
FO	13753
FP	6
FQ	0
FR	6011
FS	155
FT	2302
FU	2706
FV	0
FW	6
FX	0
FY	256
FZ	0
GA	4175
GB	13
GC	6
GD	89
GE	10861
GF	33
GG	697
GH	6414
GI	4275
GJ	1
GK	7
GL	1709
GM	277
GN	1850
GO	3725
GP	11
GQ	0
GR	5548
GS	1443
GT	434
GU	2418
GV	1
GW	18
GX	0
GY	731
GZ	3
HA	26103
HB	123
HC	34
HD	80
HE	86697
HF	63
HG	7
HH	14
HI	21520
HJ	1
HK	6
HL	355
HM	359
HN	726
HO	13672
HP	16
HQ	11
HR	2379
HS	414
HT	3670
HU	2077
HV	6
HW	134
HX	0
HY	1412
HZ	10
IA	8072
IB	2780
IC	19701
ID	8332
IE	10845
IF	5731
IG	7189
IH	58
II	642
IJ	31
IK	1209
IL	12167
IM	8959
IN	68595
IO	23542
IP	2515
IQ	318
IR	8886
IS	31817
IT	31672
IU	490
IV	8116
IW	17
IX	621
IY	6
IZ	1814
JA	729
JB	2
JC	3
JD	2
JE	1463
JF	2
JG	1
JH	3
JI	77
JJ	2
JK	1
JL	3
JM	3
JN	4
JO	1516
JP	6
JQ	0
JR	6
JS	3
JT	2
JU	1655
JV	1
JW	1
JX	0
JY	1
JZ	0
KA	478
KB	25
KC	6
KD	18
KE	6027
KF	44
KG	72
KH	89
KI	2759
KJ	3
KK	12
KL	298
KM	50
KN	1450
KO	171
KP	20
KQ	0
KR	76
KS	1339
KT	29
KU	85
KV	4
KW	61
KX	0
KY	167
KZ	0
LA	14874
LB	188
LC	333
LD	7122
LE	23382
LF	1507
LG	171
LH	45
LI	17604
LJ	3
LK	555
LL	16257
LM	649
LN	165
LO	10908
LP	536
LQ	3
LR	283
LS	3990
LT	3486
LU	3811
LV	984
LW	356
LX	8
LY	11983
LZ	11
MA	15938
MB	2544
MC	121
MD	18
ME	22360
MF	107
MG	34
MH	15
MI	8957
MJ	2
MK	3
ML	129
MM	2708
MN	247
MO	9498
MP	6743
MQ	0
MR	87
MS	2617
MT	38
MU	3231
MV	8
MW	16
MX	0
MY	1753
MZ	0
NA	9790
NB	122
NC	11722
ND	38129
NE	19504
NF	1894
NG	26871
NH	306
NI	9564
NJ	312
NK	1455
NL	1798
NM	782
NN	2051
NO	13099
NP	170
NQ	167
NR	258
NS	14350
NT	29359
NU	2217
NV	1466
NW	163
NX	73
NY	2760
NZ	123
OA	1620
OB	2725
OC	4692
OD	5511
OE	1089
OF	33130
OG	2651
OH	602
OI	2474
OJ	196
OK	1813
OL	10305
OM	15402
ON	49570
OO	5928
OP	6313
OQ	29
OR	35994
OS	8176
OT	12465
OU	24531
OV	5021
OW	9318
OX	523
OY	1020
OZ	97
PA	9123
PB	36
PC	33
PD	33
PE	13477
PF	41
PG	13
PH	2661
PI	3470
PJ	2
PK	23
PL	7415
PM	449
PN	33
PO	10189
PP	3850
PQ	1
PR	13378
PS	1538
PT	2982
PU	2947
PV	6
PW	34
PX	1
PY	331
PZ	6
QA	4
QB	1
QC	1
QD	0
QE	0
QF	0
QG	0
QH	0
QI	8
QJ	0
QK	0
QL	6
QM	0
QN	1
QO	1
QP	0
QQ	1
QR	1
QS	4
QT	1
QU	4160
QV	0
QW	0
QX	0
QY	0
QZ	0
RA	19332
RB	753
RC	3422
RD	5338
RE	52285
RF	909
RG	2813
RH	426
RI	20516
RJ	15
RK	2736
RL	2432
RM	4938
RN	4521
RO	20491
RP	1173
RQ	28
RR	3404
RS	11180
RT	10198
RU	3618
RV	1953
RW	359
RX	32
RY	6985
RZ	17
SA	6147
SB	223
SC	4363
SD	148
SE	26282
SF	483
SG	69
SH	8888
SI	15509
SJ	7
SK	1112
SL	1575
SM	1838
SN	258
SO	11214
SP	5392
SQ	209
SR	168
SS	11421
ST	29704
SU	8774
SV	35
SW	663
SX	0
SY	1602
SZ	7
TA	14941
TB	71
TC	736
TD	36
TE	33973
TF	159
TG	55
TH	100272
TI	37856
TJ	3
TK	13
TL	2775
TM	746
TN	282
TO	29360
TP	121
TQ	2
TR	12006
TS	9516
TT	4812
TU	7187
TV	32
TW	2322
TX	3
TY	6408
TZ	108
UA	3844
UB	2497
UC	5291
UD	2577
UE	4158
UF	522
UG	3606
UH	30
UI	2852
UJ	14
UK	129
UL	9751
UM	3901
UN	11121
UO	300
UP	3835
